"","X","State","Date","BinaryPiracyIncident","TotalViolentIncidents","TotalCasualties","CoastalCasualties","InlandCasualties","CoastalIncidents","InlandIncidents","GDPpc","Population","Unemployment","FishStocks","Military","Trade","CoastlineLength","Ports","ChokepointDistance1","ChokepointDistance2","Chokepoints","MajorShippingLane","OngoingCivilWar","StateFragility","StateReach","CountPiracyIncidents","Monsoon","Year"
"45",2795,"Djibouti","Oct 1998",0,0,0,0,0,0,0,755.7616936,680463,10.67399979,2374.660111,NA,NA,314,1,119,119,4,1,0,14,0.00613159850642385,0,0,"1998"
"46",2796,"Djibouti","Nov 1998",0,0,0,0,0,0,0,755.7616936,680463,10.67399979,2374.660111,NA,NA,314,1,119,119,4,1,0,14,0.00613159850642385,0,0,"1998"
"47",2797,"Djibouti","Dec 1998",0,0,0,0,0,0,0,755.7616936,680463,10.67399979,2374.660111,NA,NA,314,1,119,119,4,1,0,14,0.00613159850642385,0,0,"1998"
"48",2798,"Djibouti","Jan 1999",0,0,0,0,0,0,0,765.856135,699975,10.74699974,2419.647143,5.478089713,NA,314,1,119,119,4,1,0,15,0.00613159850642385,0,0,"1999"
"49",2799,"Djibouti","Feb 1999",0,1,1,1,0,1,0,765.856135,699975,10.74699974,2419.647143,5.478089713,NA,314,1,119,119,4,1,0,15,0.00613159850642385,0,0,"1999"
"50",2800,"Djibouti","Mar 1999",0,0,0,0,0,0,0,765.856135,699975,10.74699974,2419.647143,5.478089713,NA,314,1,119,119,4,1,0,15,0.00613159850642385,0,0,"1999"
"51",2801,"Djibouti","Apr 1999",0,0,0,0,0,0,0,765.856135,699975,10.74699974,2419.647143,5.478089713,NA,314,1,119,119,4,1,0,15,0.00613159850642385,0,0,"1999"
"52",2802,"Djibouti","May 1999",0,4,18,11,7,3,1,765.856135,699975,10.74699974,2419.647143,5.478089713,NA,314,1,119,119,4,1,0,15,0.00613159850642385,0,0,"1999"
"53",2803,"Djibouti","Jun 1999",0,1,2,2,0,1,0,765.856135,699975,10.74699974,2419.647143,5.478089713,NA,314,1,119,119,4,1,0,15,0.00613159850642385,0,0,"1999"
"54",2804,"Djibouti","Jul 1999",0,0,0,0,0,0,0,765.856135,699975,10.74699974,2419.647143,5.478089713,NA,314,1,119,119,4,1,0,15,0.00613159850642385,0,0,"1999"
